subjid,roi,side,vol_mm,to_delete,centroid_x,centroid_y,centroid_z
sub-P006,STN,L,92.61,0.09261,-7.37945,-9.57445,-21.2077
sub-P009,STN,L,117.306,0.117306,-7.19424,-16.5449,-35.3598
sub-P016,STN,L,117.992,0.117992,-1.40185,-13.5277,-34.8269
sub-P017,STN,L,120.05,0.12005,-9.68293,-10.8428,-33.3869
sub-P019,STN,L,82.663,0.082663,-8.30296,-7.70797,-26.3983
sub-P027,STN,L,167.384,0.167384,-9.17273,-12.2623,-45.5691
sub-P036,STN,L,186.249,0.186249,-6.42155,-5.92738,-29.7633
sub-P039,STN,L,157.094,0.157094,-8.44533,-5.67072,-38.8415
sub-P041,STN,L,147.568,0.147568,-3.99106,12.4762,-9.58566
sub-P093,STN,L,154.407,0.154407,14.8983,8.73214,-33.6629
sub-P006,STN,R,117.649,0.117649,11.4736,-9.51633,-20.5994
sub-P009,STN,R,147.833,0.147833,11.2981,-17.0396,-35.4759
sub-P016,STN,R,118.335,0.118335,14.4746,-15.1343,-33.8704
sub-P017,STN,R,111.132,0.111132,11.953,-13.0871,-34.4238
sub-P019,STN,R,81.977,0.081977,12.4951,-8.89489,-27.7495
sub-P027,STN,R,148.176,0.148176,14.0476,-13.3706,-46.2323
sub-P036,STN,R,199.283,0.199283,14.6671,-4.70581,-28.9863
sub-P039,STN,R,163.611,0.163611,8.60517,-7.47839,-40.062
sub-P041,STN,R,186.789,0.186789,20.2118,10.6051,-10.2739
sub-P093,STN,R,148.501,0.148501,-6.18589,11.5216,-33.682